serial_number,device_id,controller_id,segment_id,alarm_name,timestamp,alarm_id,badge_id,threat_level
K7M3Q8N5,READER-MainEntrance,H9K2L7,P4X8M3,Granted Access,1717920145,94738205,12847369,Minor
B5R8T2W4,READER-BackDoor,F3J6N9,R7Y4K1,Door Forced Open,1717920521,67294851,,Severe
A9L4C6X1,READER-SideEntrance,M8Q5P2,L3W9H6,Invalid Badge Read,1717920897,83759241,74628591,Elevated
Z2N7J9S8,READER-EmergencyExit,V4B8R3,T6K2M5,Door Held Open,1717921273,29473856,,High
P3K8M5Q7,READER-MainEntrance,D7N4J8,G9L3B6,Granted Access,1717921649,51862973,36849275,Minor
F6T2W9R1,READER-BackDoor,K2M7P4,S8X5N1,Door Forced Open,1717922025,76385194,,Severe
H4Y8L6C3,READER-SideEntrance,Q9R5T2,V3J7K4,Invalid Badge Read,1717922401,94627385,47382916,Elevated
J9M2K7S5,READER-EmergencyExit,B6W3L8,H4N9P2,Door Held Open,1717922777,38572649,,High
R1X5N8T4,READER-MainEntrance,L7Q4M9,F2K6J3,Granted Access,1717923153,85947362,58392047,Minor
W7B3P6K2,READER-BackDoor,X8S2N5,R9Y7L4,Door Forced Open,1717923529,62839571,,Severe
L5J8M4R9,READER-SideEntrance,C3P7W6,B1T5K8,Invalid Badge Read,1717923905,73941628,67294851,Elevated
N2Q6T8Y3,READER-EmergencyExit,J4H9L2,M7X3S6,Door Held Open,1717924281,49628375,,High
T8K3L7M1,READER-MainEntrance,P5B2J9,Q6W8R4,Granted Access,1717924657,91573842,36849275,Minor
S4R9W6N7,READER-BackDoor,N8M1K5,L3J7P2,Door Forced Open,1717925033,74629381,,Severe
Y1M6J4L8,READER-SideEntrance,T2Q7W9,H6K3N4,Invalid Badge Read,1717925409,58392647,47382916,Elevated
Q7P2N5K3,READER-EmergencyExit,R4B8J1,S9L6M7,Door Held Open,1717925785,37485926,,High
K9L4T6W2,READER-MainEntrance,M3X7N8,C2P5J9,Granted Access,1717926161,82947385,58392047,Minor
V3J8R1M5,READER-BackDoor,W6K2L4,F8T9Q3,Door Forced Open,1717926537,63749521,,Severe
B7N4K8L2,READER-SideEntrance,H1J6M9,P7S3W5,Invalid Badge Read,1717926913,94736281,67294851,Elevated
C6P9T1R8,READER-EmergencyExit,Q4N7K2,R3J8L6,Door Held Open,1717927289,48529371,,High
X2M7J5N4,READER-MainEntrance,L8W3P6,B9K4T7,Granted Access,1717927665,75839462,36849275,Minor
F8T4L9K6,READER-BackDoor,S2J7N1,M5Q8W3,Door Forced Open,1717928041,69274851,,Severe
J1W6M3R7,READER-SideEntrance,P9K4L8,H2J6T5,Invalid Badge Read,1717928417,84726391,47382916,Elevated
R5K8N2J9,READER-EmergencyExit,T7M3Q6,L4W9P1,Door Held Open,1717928793,52839467,,High
