alert_event_id,severity,site_name,detection_name,creation_time,camera_name,readers_name
CVA-001,High,Building A,Person Brandishing Firearm,2025-06-09 0:15:23,CAM-001,
CVA-002,Medium,Building B,Door Propped Open,2025-06-09 0:42:17,CAM-002,READER-001
CVA-003,High,Building C,Smoke or Fire,2025-06-09 1:08:45,CAM-003,
CVA-004,Medium,Building A,Person Jumping Fence,2025-06-09 1:33:52,CAM-004,
CVA-005,High,Building B,Person Falling Down,2025-06-09 2:01:29,CAM-005,
CVA-006,Medium,Building C,Tailgating,2025-06-09 2:27:18,CAM-006,READER-002
CVA-007,High,Building A,Person Brandishing Firearm,2025-06-09 2:54:36,CAM-007,
CVA-008,Medium,Building B,Door Propped Open,2025-06-09 3:19:44,CAM-008,READER-003
CVA-009,High,Building C,Smoke or Fire,2025-06-09 3:46:12,CAM-009,
CVA-010,Medium,Building A,Person Jumping Fence,2025-06-09 4:12:58,CAM-010,
CVA-011,High,Building B,Person Falling Down,2025-06-09 4:38:25,CAM-011,
CVA-012,Medium,Building C,Tailgating,2025-06-09 5:05:41,CAM-012,READER-004
CVA-013,High,Building A,Person Brandishing Firearm,2025-06-09 5:32:19,CAM-013,
CVA-014,Medium,Building B,Door Propped Open,2025-06-09 5:58:33,CAM-014,READER-005
CVA-015,High,Building C,Smoke or Fire,2025-06-09 6:24:47,CAM-015,
CVA-016,Medium,Building A,Person Jumping Fence,2025-06-09 6:51:15,CAM-016,
CVA-017,High,Building B,Person Falling Down,2025-06-09 7:17:29,CAM-017,
CVA-018,Medium,Building C,Tailgating,2025-06-09 7:43:52,CAM-018,READER-006
CVA-019,High,Building A,Person Brandishing Firearm,2025-06-09 8:10:38,CAM-019,
CVA-020,Medium,Building B,Door Propped Open,2025-06-09 8:36:24,CAM-020,READER-007
CVA-021,High,Building C,Smoke or Fire,2025-06-09 9:02:51,CAM-021,
CVA-022,Medium,Building A,Person Jumping Fence,2025-06-09 9:29:17,CAM-022,
CVA-023,High,Building B,Person Falling Down,2025-06-09 9:55:43,CAM-023,
CVA-024,Medium,Building C,Tailgating,2025-06-09 10:22:35,CAM-024,READER-008
CVA-025,High,Building A,Person Brandishing Firearm,2025-06-09 10:48:19,CAM-025,
CVA-026,Medium,Building B,Door Propped Open,2025-06-09 11:14:42,CAM-026,READER-009
CVA-027,High,Building C,Smoke or Fire,2025-06-09 11:41:28,CAM-027,
CVA-028,Medium,Building A,Person Jumping Fence,2025-06-09 12:07:56,CAM-028,
CVA-029,High,Building B,Person Falling Down,2025-06-09 12:34:12,CAM-029,
CVA-030,Medium,Building C,Tailgating,2025-06-09 13:00:39,CAM-030,READER-010
CVA-031,High,Building A,Person Brandishing Firearm,2025-06-09 13:27:25,CAM-031,
CVA-032,Medium,Building B,Door Propped Open,2025-06-09 13:53:48,CAM-032,READER-011
CVA-033,High,Building C,Smoke or Fire,2025-06-09 14:20:14,CAM-033,
CVA-034,Medium,Building A,Person Jumping Fence,2025-06-09 14:46:57,CAM-034,
CVA-035,High,Building B,Person Falling Down,2025-06-09 15:13:21,CAM-035,
CVA-036,Medium,Building C,Tailgating,2025-06-09 15:39:44,CAM-036,READER-012
CVA-037,High,Building A,Person Brandishing Firearm,2025-06-09 16:06:18,CAM-037,
CVA-038,Medium,Building B,Door Propped Open,2025-06-09 16:32:55,CAM-038,READER-013
CVA-039,High,Building C,Smoke or Fire,2025-06-09 16:59:12,CAM-039,
CVA-040,Medium,Building A,Person Jumping Fence,2025-06-09 17:25:38,CAM-040,
CVA-041,High,Building B,Person Falling Down,2025-06-09 17:52:24,CAM-041,
CVA-042,Medium,Building C,Tailgating,2025-06-09 18:18:47,CAM-042,READER-014
CVA-043,High,Building A,Person Brandishing Firearm,2025-06-09 18:45:15,CAM-043,
CVA-044,Medium,Building B,Door Propped Open,2025-06-09 19:11:39,CAM-044,READER-015
CVA-045,High,Building C,Smoke or Fire,2025-06-09 19:38:26,CAM-045,
CVA-046,Medium,Building A,Person Jumping Fence,2025-06-09 20:04:52,CAM-046,
CVA-047,High,Building B,Person Falling Down,2025-06-09 20:31:18,CAM-047,
CVA-048,Medium,Building C,Tailgating,2025-06-09 20:57:41,CAM-048,READER-016
CVA-049,High,Building A,Person Brandishing Firearm,2025-06-09 21:24:17,CAM-049,
CVA-050,Medium,Building B,Door Propped Open,2025-06-09 21:50:33,CAM-050,READER-017
CVA-051,High,Building C,Smoke or Fire,2025-06-09 22:16:58,CAM-051,
CVA-052,Medium,Building A,Person Jumping Fence,2025-06-09 22:43:24,CAM-052,
CVA-053,High,Building B,Person Falling Down,2025-06-09 23:09:47,CAM-053,
CVA-054,Medium,Building C,Tailgating,2025-06-09 23:36:13,CAM-054,READER-018
CVA-055,High,Building A,Person Brandishing Firearm,2025-06-10 0:02:39,CAM-055,
CVA-056,Medium,Building B,Door Propped Open,2025-06-10 0:29:15,CAM-056,READER-019
CVA-057,High,Building C,Smoke or Fire,2025-06-10 0:55:42,CAM-057,
CVA-058,Medium,Building A,Person Jumping Fence,2025-06-10 1:22:18,CAM-058,
CVA-059,High,Building B,Person Falling Down,2025-06-10 1:48:34,CAM-059,
CVA-060,Medium,Building C,Tailgating,2025-06-10 2:15:17,CAM-060,READER-020
CVA-061,High,Building A,Person Brandishing Firearm,2025-06-10 2:41:53,CAM-061,
CVA-062,Medium,Building B,Door Propped Open,2025-06-10 3:08:26,CAM-062,READER-021
CVA-063,High,Building C,Smoke or Fire,2025-06-10 3:34:49,CAM-063,
CVA-064,Medium,Building A,Person Jumping Fence,2025-06-10 4:01:25,CAM-064,
CVA-065,High,Building B,Person Falling Down,2025-06-10 4:27:48,CAM-065,
CVA-066,Medium,Building C,Tailgating,2025-06-10 4:54:14,CAM-066,READER-022
CVA-067,High,Building A,Person Brandishing Firearm,2025-06-10 5:20:37,CAM-067,
CVA-068,Medium,Building B,Door Propped Open,2025-06-10 5:47:13,CAM-068,READER-023
CVA-069,High,Building C,Smoke or Fire,2025-06-10 6:13:56,CAM-069,
CVA-070,Medium,Building A,Person Jumping Fence,2025-06-10 6:40:22,CAM-070,
CVA-071,High,Building B,Person Falling Down,2025-06-10 7:06:45,CAM-071,
CVA-072,Medium,Building C,Tailgating,2025-06-10 7:33:18,CAM-072,READER-024
CVA-073,High,Building A,Person Brandishing Firearm,2025-06-10 7:59:44,CAM-073,
CVA-074,Medium,Building B,Door Propped Open,2025-06-10 8:26:17,CAM-074,READER-025
CVA-075,High,Building C,Smoke or Fire,2025-06-10 8:52:43,CAM-075,
CVA-076,Medium,Building A,Person Jumping Fence,2025-06-10 9:19:26,CAM-076,
CVA-077,High,Building B,Person Falling Down,2025-06-10 9:45:52,CAM-077,
CVA-078,Medium,Building C,Tailgating,2025-06-10 10:12:15,CAM-078,READER-026
CVA-079,High,Building A,Person Brandishing Firearm,2025-06-10 10:38:41,CAM-079,
CVA-080,Medium,Building B,Door Propped Open,2025-06-10 11:05:28,CAM-080,READER-027
CVA-081,High,Building C,Smoke or Fire,2025-06-10 11:31:54,CAM-081,
CVA-082,Medium,Building A,Person Jumping Fence,2025-06-10 11:58:17,CAM-082,
CVA-083,High,Building B,Person Falling Down,2025-06-10 12:24:43,CAM-083,
CVA-084,Medium,Building C,Tailgating,2025-06-10 12:51:26,CAM-084,READER-028
CVA-085,High,Building A,Person Brandishing Firearm,2025-06-10 13:17:52,CAM-085,
CVA-086,Medium,Building B,Door Propped Open,2025-06-10 13:44:15,CAM-086,READER-029
CVA-087,High,Building C,Smoke or Fire,2025-06-10 14:10:38,CAM-087,
CVA-088,Medium,Building A,Person Jumping Fence,2025-06-10 14:37:24,CAM-088,
CVA-089,High,Building B,Person Falling Down,2025-06-10 15:03:47,CAM-089,
